ASSET,MC,TNG,DCR,Energy,Date,Time
Battle River #4 (BR4),155,0,0,Coal,2021-03-20,12:34
Battle River #5 (BR5),385,0,0,Coal,2021-03-20,12:34
Genesee #1 (GN1),400,259,0,Coal,2021-03-20,12:34
Genesee #2 (GN2),400,202,0,Coal,2021-03-20,12:34
Genesee #3 (GN3),466,461,0,Coal,2021-03-20,12:34
Keephills #1 (KH1),395,198,67,Coal,2021-03-20,12:34
Keephills #2 (KH2),395,0,0,Coal,2021-03-20,12:34
Keephills #3 (KH3),463,0,0,Coal,2021-03-20,12:34
Sheerness #1 (SH1),400,0,0,Coal,2021-03-20,12:34
Sheerness #2 (SH2),400,137,0,Coal,2021-03-20,12:34
Sundance #4 (SD4),406,0,0,Coal,2021-03-20,12:34
Sundance #5 (SD5),406,0,0,Coal,2021-03-20,12:34
AB Newsprint (ANC1),63,0,0,Gas,2021-03-20,12:34
Bantry (ALP1),7,0,0,Gas,2021-03-20,12:34
Bellshill (BHL1),5,0,0,Gas,2021-03-20,12:34
Carson Creek (GEN5),15,8,0,Gas,2021-03-20,12:34
Cloverbar #1 (ENC1),48,0,0,Gas,2021-03-20,12:34
Cloverbar #2 (ENC2),101,0,0,Gas,2021-03-20,12:34
Cloverbar #3 (ENC3),101,0,0,Gas,2021-03-20,12:34
Crossfield Energy Centre #1 (CRS1),48,0,0,Gas,2021-03-20,12:34
Crossfield Energy Centre #2 (CRS2),48,0,0,Gas,2021-03-20,12:34
Crossfield Energy Centre #3 (CRS3),48,0,0,Gas,2021-03-20,12:34
Drywood (DRW1),6,0,0,Gas,2021-03-20,12:34
H.R. Milner (HRM),208,0,0,Gas,2021-03-20,12:34
Judy Creek (GEN6),15,0,0,Gas,2021-03-20,12:34
Lethbridge Burdett (ME03),7,0,6,Gas,2021-03-20,12:34
Lethbridge Coaldale (ME04),6,0,5,Gas,2021-03-20,12:34
Lethbridge Taber (ME02),8,0,6,Gas,2021-03-20,12:34
NPC1 Denis St. Pierre (NPC1),11,0,5,Gas,2021-03-20,12:34
NPC2 JL Landry (NPC2),9,0,0,Gas,2021-03-20,12:34
Northern Prairie Power Project (NPP1),105,0,0,Gas,2021-03-20,12:34
Parkland (ALP2),10,0,7,Gas,2021-03-20,12:34
Poplar Hill #1 (PH1),48,5,0,Gas,2021-03-20,12:34
Rainbow #5 (RB5),50,48,0,Gas,2021-03-20,12:34
Ralston (NAT1),20,0,17,Gas,2021-03-20,12:34
South Edmonton Terminal (SET1),20,0,0,Gas,2021-03-20,12:34
Sundance #6 (SD6) (Gas fired steam),401,347,0,Gas,2021-03-20,12:34
Valley View 1 (VVW1),50,0,0,Gas,2021-03-20,12:34
Valley View 2 (VVW2),50,29,15,Gas,2021-03-20,12:34
West Cadotte (WCD1),20,20,0,Gas,2021-03-20,12:34
West Pembina (PMB1)*,13,8,0,Gas,2021-03-20,12:34
Air Liquide Scotford #1 (ALS1),106,72,15,Gas,2021-03-20,12:34
AltaGas Harmattan (HMT1),45,39,0,Gas,2021-03-20,12:34
Base Plant (SCR1),50,33,0,Gas,2021-03-20,12:34
Bear Creek 1 (BCRK),64,57,0,Gas,2021-03-20,12:34
Bear Creek 2 (BCR2),36,29,0,Gas,2021-03-20,12:34
Blackfalds (BFD1),6,4,0,Gas,2021-03-20,12:34
CNRL Horizon (CNR5)*,203,189,0,Gas,2021-03-20,12:34
Camrose (CRG1)*,10,11,0,Gas,2021-03-20,12:34
Caroline (SHCG)*,19,0,0,Gas,2021-03-20,12:34
Carseland Cogen (TC01),95,75,0,Gas,2021-03-20,12:34
Christina Lake (CL01),100,82,0,Gas,2021-03-20,12:34
Coaldale (COD1),5,4,0,Gas,2021-03-20,12:34
Dow Hydrocarbon (DOWG),326,185,12,Gas,2021-03-20,12:34
Edson (TLM2),13,5,0,Gas,2021-03-20,12:34
Firebag (SCR6),497,413,20,Gas,2021-03-20,12:34
Fort Hills (FH1),199,182,0,Gas,2021-03-20,12:34
Foster Creek (EC04),98,71,0,Gas,2021-03-20,12:34
Joffre #1 (JOF1),474,347,20,Gas,2021-03-20,12:34
Kearl (IOR3),84,74,0,Gas,2021-03-20,12:34
Lindbergh (PEC1)*,16,14,0,Gas,2021-03-20,12:34
MEG1 Christina Lake (MEG1),202,156,0,Gas,2021-03-20,12:34
MacKay River (MKRC),207,180,0,Gas,2021-03-20,12:34
Mahkeses (IOR1),180,161,0,Gas,2021-03-20,12:34
Mulligan (MUL1)*,5,5,0,Gas,2021-03-20,12:34
Muskeg River (MKR1),202,170,0,Gas,2021-03-20,12:34
Nabiye (IOR2)*,195,163,0,Gas,2021-03-20,12:34
Nexen Inc #2 (NX02),220,171,0,Gas,2021-03-20,12:34
Poplar Creek (SCR5),376,333,0,Gas,2021-03-20,12:34
Primrose #1 (PR1),100,80,0,Gas,2021-03-20,12:34
Rainbow Lake #1 (RL1),47,0,0,Gas,2021-03-20,12:34
Redwater Cogen (TC02),92,78,0,Gas,2021-03-20,12:34
Saddle Hills (SDH1),10,0,0,Gas,2021-03-20,12:34
Scotford Upgrader (APS1),195,156,0,Gas,2021-03-20,12:34
Strathcona (IOR4)*,43,40,0,Gas,2021-03-20,12:34
Syncrude #1 (SCL1)*,510,371,0,Gas,2021-03-20,12:34
U of C Generator (UOC1)*,12,13,0,Gas,2021-03-20,12:34
University of Alberta (UOA1)*,39,10,0,Gas,2021-03-20,12:34
Cavalier (EC01),120,54,0,Gas,2021-03-20,12:34
ENMAX Calgary Energy Centre (CAL1),320,251,0,Gas,2021-03-20,12:34
Fort Nelson (FNG1),73,47,0,Gas,2021-03-20,12:34
Medicine Hat #1 (CMH1),255,165,0,Gas,2021-03-20,12:34
Nexen Inc #1 (NX01),120,41,0,Gas,2021-03-20,12:34
Shepard (EGC1),868,706,0,Gas,2021-03-20,12:34
Bighorn Hydro (BIG),120,35,10,Hydro,2021-03-20,12:34
Bow River Hydro (BOW1),320,105,35,Hydro,2021-03-20,12:34
Brazeau Hydro (BRA),350,36,178,Hydro,2021-03-20,12:34
Chin Chute (CHIN),15,0,0,Hydro,2021-03-20,12:34
Dickson Dam (DKSN),15,4,0,Hydro,2021-03-20,12:34
Irrican Hydro (ICP1),7,0,0,Hydro,2021-03-20,12:34
Oldman River (OMRH),32,3,0,Hydro,2021-03-20,12:34
Raymond Reservoir (RYMD),21,0,0,Hydro,2021-03-20,12:34
Taylor Hydro (TAY1),14,0,0,Hydro,2021-03-20,12:34
Ardenville Wind (ARD1)*,68,42,0,Wind,2021-03-20,12:34
BUL1 Bull Creek (BUL1)*,13,10,0,Wind,2021-03-20,12:34
BUL2 Bull Creek (BUL2)*,16,7,0,Wind,2021-03-20,12:34
Blackspring Ridge (BSR1)*,300,292,0,Wind,2021-03-20,12:34
Blue Trail Wind (BTR1)*,66,63,0,Wind,2021-03-20,12:34
Castle River #1 (CR1)*,39,34,0,Wind,2021-03-20,12:34
Castle Rock Ridge 2 (CRR2)*,29,29,0,Wind,2021-03-20,12:34
Castle Rock Wind Farm (CRR1)*,77,77,0,Wind,2021-03-20,12:34
Cowley Ridge (CRE3)*,20,15,0,Wind,2021-03-20,12:34
Enmax Taber (TAB1)*,81,69,0,Wind,2021-03-20,12:34
Ghost Pine (NEP1)*,82,39,0,Wind,2021-03-20,12:34
Halkirk Wind Power Facility (HAL1)*,150,25,0,Wind,2021-03-20,12:34
Kettles Hill (KHW1)*,63,59,0,Wind,2021-03-20,12:34
McBride Lake Windfarm (AKE1)*,73,60,0,Wind,2021-03-20,12:34
Oldman 2 Wind Farm 1 (OWF1)*,46,46,0,Wind,2021-03-20,12:34
Riverview (RIV1)*,105,100,0,Wind,2021-03-20,12:34
Soderglen Wind  (GWW1)*,71,45,0,Wind,2021-03-20,12:34
Summerview 1 (IEW1)*,66,56,0,Wind,2021-03-20,12:34
Summerview 2 (IEW2)*,66,54,0,Wind,2021-03-20,12:34
Suncor Chin Chute (SCR3)*,30,24,0,Wind,2021-03-20,12:34
Suncor Magrath (SCR2)*,30,26,0,Wind,2021-03-20,12:34
Whitla (WHT1)*,202,143,0,Wind,2021-03-20,12:34
Wintering Hills (SCR4)*,88,17,0,Wind,2021-03-20,12:34
APF Athabasca (AFG1)*,131,70,10,Biomass,2021-03-20,12:34
BRD1 Burdett (BRD1),10,0,0,Biomass,2021-03-20,12:34
BUR1 Burdett (BUR1),20,0,0,Biomass,2021-03-20,12:34
Brooks Solar (BSC1),15,14,0,Biomass,2021-03-20,12:34
Cancarb Medicine Hat (CCMH),42,24,0,Biomass,2021-03-20,12:34
Claresholm 1 (CLR1),58,57,0,Biomass,2021-03-20,12:34
Claresholm 2 (CLR2),75,0,0,Biomass,2021-03-20,12:34
DAI1 Daishowa (DAI1),52,46,12,Biomass,2021-03-20,12:34
Gold Creek Facility (GOC1),5,0,0,Biomass,2021-03-20,12:34
Grande Prairie EcoPower (GPEC),27,13,0,Biomass,2021-03-20,12:34
Hull (HUL1),25,20,0,Biomass,2021-03-20,12:34
Innisfail (INF1),22,22,0,Biomass,2021-03-20,12:34
NRGreen (NRG3),16,11,0,Biomass,2021-03-20,12:34
Slave Lake (SLP1)*,9,6,0,Biomass,2021-03-20,12:34
Suffield (SUF1),23,22,0,Biomass,2021-03-20,12:34
Summerview (SUM1),10,0,10,Biomass,2021-03-20,12:34
Vauxhall (VXH1),22,17,0,Biomass,2021-03-20,12:34
Weldwood #1 (WWD1)*,50,38,0,Biomass,2021-03-20,12:34
Westfield Yellow Lake (WEF1),19,0,0,Biomass,2021-03-20,12:34
Westlock (WST1)*,18,11,0,Biomass,2021-03-20,12:34
Weyerhaeuser (WEY1),48,39,0,Biomass,2021-03-20,12:34
Whitecourt Power (EAGL),25,23,0,Biomass,2021-03-20,12:34
eReserve1 Rycroft (ERV1),20,0,17,Biomass,2021-03-20,12:34
﻿Battle River #4 (BR4),155,0,0,Coal,2021-03-20,12:36
Battle River #5 (BR5),385,0,0,Coal,2021-03-20,12:36
Genesee #1 (GN1),400,252,0,Coal,2021-03-20,12:36
Genesee #2 (GN2),400,203,0,Coal,2021-03-20,12:36
Genesee #3 (GN3),466,462,0,Coal,2021-03-20,12:36
Keephills #1 (KH1),395,202,67,Coal,2021-03-20,12:36
Keephills #2 (KH2),395,0,0,Coal,2021-03-20,12:36
Keephills #3 (KH3),463,0,0,Coal,2021-03-20,12:36
Sheerness #1 (SH1),400,0,0,Coal,2021-03-20,12:36
Sheerness #2 (SH2),400,137,0,Coal,2021-03-20,12:36
Sundance #4 (SD4),406,0,0,Coal,2021-03-20,12:36
Sundance #5 (SD5),406,0,0,Coal,2021-03-20,12:36
AB Newsprint (ANC1),63,0,0,Gas,2021-03-20,12:36
Bantry (ALP1),7,0,0,Gas,2021-03-20,12:36
Bellshill (BHL1),5,0,0,Gas,2021-03-20,12:36
Carson Creek (GEN5),15,8,0,Gas,2021-03-20,12:36
Cloverbar #1 (ENC1),48,0,0,Gas,2021-03-20,12:36
Cloverbar #2 (ENC2),101,0,0,Gas,2021-03-20,12:36
Cloverbar #3 (ENC3),101,0,0,Gas,2021-03-20,12:36
Crossfield Energy Centre #1 (CRS1),48,0,0,Gas,2021-03-20,12:36
Crossfield Energy Centre #2 (CRS2),48,0,0,Gas,2021-03-20,12:36
Crossfield Energy Centre #3 (CRS3),48,0,0,Gas,2021-03-20,12:36
Drywood (DRW1),6,0,0,Gas,2021-03-20,12:36
H.R. Milner (HRM),208,0,0,Gas,2021-03-20,12:36
Judy Creek (GEN6),15,0,0,Gas,2021-03-20,12:36
Lethbridge Burdett (ME03),7,0,6,Gas,2021-03-20,12:36
Lethbridge Coaldale (ME04),6,0,5,Gas,2021-03-20,12:36
Lethbridge Taber (ME02),8,0,6,Gas,2021-03-20,12:36
NPC1 Denis St. Pierre (NPC1),11,0,5,Gas,2021-03-20,12:36
NPC2 JL Landry (NPC2),9,0,0,Gas,2021-03-20,12:36
Northern Prairie Power Project (NPP1),105,0,0,Gas,2021-03-20,12:36
Parkland (ALP2),10,0,7,Gas,2021-03-20,12:36
Poplar Hill #1 (PH1),48,5,0,Gas,2021-03-20,12:36
Rainbow #5 (RB5),50,47,0,Gas,2021-03-20,12:36
Ralston (NAT1),20,0,17,Gas,2021-03-20,12:36
South Edmonton Terminal (SET1),20,0,0,Gas,2021-03-20,12:36
Sundance #6 (SD6) (Gas fired steam),401,349,0,Gas,2021-03-20,12:36
Valley View 1 (VVW1),50,0,0,Gas,2021-03-20,12:36
Valley View 2 (VVW2),50,29,15,Gas,2021-03-20,12:36
West Cadotte (WCD1),20,20,0,Gas,2021-03-20,12:36
West Pembina (PMB1)*,13,8,0,Gas,2021-03-20,12:36
Air Liquide Scotford #1 (ALS1),106,72,15,Gas,2021-03-20,12:36
AltaGas Harmattan (HMT1),45,39,0,Gas,2021-03-20,12:36
Base Plant (SCR1),50,33,0,Gas,2021-03-20,12:36
Bear Creek 1 (BCRK),64,57,0,Gas,2021-03-20,12:36
Bear Creek 2 (BCR2),36,29,0,Gas,2021-03-20,12:36
Blackfalds (BFD1),6,4,0,Gas,2021-03-20,12:36
CNRL Horizon (CNR5)*,203,188,0,Gas,2021-03-20,12:36
Camrose (CRG1)*,10,11,0,Gas,2021-03-20,12:36
Caroline (SHCG)*,19,0,0,Gas,2021-03-20,12:36
Carseland Cogen (TC01),95,75,0,Gas,2021-03-20,12:36
Christina Lake (CL01),100,82,0,Gas,2021-03-20,12:36
Coaldale (COD1),5,4,0,Gas,2021-03-20,12:36
Dow Hydrocarbon (DOWG),326,185,12,Gas,2021-03-20,12:36
Edson (TLM2),13,5,0,Gas,2021-03-20,12:36
Firebag (SCR6),497,414,20,Gas,2021-03-20,12:36
Fort Hills (FH1),199,183,0,Gas,2021-03-20,12:36
Foster Creek (EC04),98,70,0,Gas,2021-03-20,12:36
Joffre #1 (JOF1),474,347,20,Gas,2021-03-20,12:36
Kearl (IOR3),84,75,0,Gas,2021-03-20,12:36
Lindbergh (PEC1)*,16,14,0,Gas,2021-03-20,12:36
MEG1 Christina Lake (MEG1),202,156,0,Gas,2021-03-20,12:36
MacKay River (MKRC),207,180,0,Gas,2021-03-20,12:36
Mahkeses (IOR1),180,161,0,Gas,2021-03-20,12:36
Mulligan (MUL1)*,5,5,0,Gas,2021-03-20,12:36
Muskeg River (MKR1),202,170,0,Gas,2021-03-20,12:36
Nabiye (IOR2)*,195,164,0,Gas,2021-03-20,12:36
Nexen Inc #2 (NX02),220,171,0,Gas,2021-03-20,12:36
Poplar Creek (SCR5),376,333,0,Gas,2021-03-20,12:36
Primrose #1 (PR1),100,80,0,Gas,2021-03-20,12:36
Rainbow Lake #1 (RL1),47,0,0,Gas,2021-03-20,12:36
Redwater Cogen (TC02),92,78,0,Gas,2021-03-20,12:36
Saddle Hills (SDH1),10,0,0,Gas,2021-03-20,12:36
Scotford Upgrader (APS1),195,156,0,Gas,2021-03-20,12:36
Strathcona (IOR4)*,43,40,0,Gas,2021-03-20,12:36
Syncrude #1 (SCL1)*,510,371,0,Gas,2021-03-20,12:36
U of C Generator (UOC1)*,12,13,0,Gas,2021-03-20,12:36
University of Alberta (UOA1)*,39,11,0,Gas,2021-03-20,12:36
Cavalier (EC01),120,61,0,Gas,2021-03-20,12:36
ENMAX Calgary Energy Centre (CAL1),320,251,0,Gas,2021-03-20,12:36
Fort Nelson (FNG1),73,47,0,Gas,2021-03-20,12:36
Medicine Hat #1 (CMH1),255,165,0,Gas,2021-03-20,12:36
Nexen Inc #1 (NX01),120,44,0,Gas,2021-03-20,12:36
Shepard (EGC1),868,707,0,Gas,2021-03-20,12:36
Bighorn Hydro (BIG),120,37,10,Hydro,2021-03-20,12:36
Bow River Hydro (BOW1),320,105,35,Hydro,2021-03-20,12:36
Brazeau Hydro (BRA),350,40,178,Hydro,2021-03-20,12:36
Chin Chute (CHIN),15,0,0,Hydro,2021-03-20,12:36
Dickson Dam (DKSN),15,4,0,Hydro,2021-03-20,12:36
Irrican Hydro (ICP1),7,0,0,Hydro,2021-03-20,12:36
Oldman River (OMRH),32,3,0,Hydro,2021-03-20,12:36
Raymond Reservoir (RYMD),21,0,0,Hydro,2021-03-20,12:36
Taylor Hydro (TAY1),14,0,0,Hydro,2021-03-20,12:36
Ardenville Wind (ARD1)*,68,43,0,Wind,2021-03-20,12:36
BUL1 Bull Creek (BUL1)*,13,10,0,Wind,2021-03-20,12:36
BUL2 Bull Creek (BUL2)*,16,11,0,Wind,2021-03-20,12:36
Blackspring Ridge (BSR1)*,300,293,0,Wind,2021-03-20,12:36
Blue Trail Wind (BTR1)*,66,64,0,Wind,2021-03-20,12:36
Castle River #1 (CR1)*,39,34,0,Wind,2021-03-20,12:36
Castle Rock Ridge 2 (CRR2)*,29,29,0,Wind,2021-03-20,12:36
Castle Rock Wind Farm (CRR1)*,77,76,0,Wind,2021-03-20,12:36
Cowley Ridge (CRE3)*,20,18,0,Wind,2021-03-20,12:36
Enmax Taber (TAB1)*,81,71,0,Wind,2021-03-20,12:36
Ghost Pine (NEP1)*,82,35,0,Wind,2021-03-20,12:36
Halkirk Wind Power Facility (HAL1)*,150,22,0,Wind,2021-03-20,12:36
Kettles Hill (KHW1)*,63,56,0,Wind,2021-03-20,12:36
McBride Lake Windfarm (AKE1)*,73,55,0,Wind,2021-03-20,12:36
Oldman 2 Wind Farm 1 (OWF1)*,46,46,0,Wind,2021-03-20,12:36
Riverview (RIV1)*,105,101,0,Wind,2021-03-20,12:36
Soderglen Wind  (GWW1)*,71,46,0,Wind,2021-03-20,12:36
Summerview 1 (IEW1)*,66,55,0,Wind,2021-03-20,12:36
Summerview 2 (IEW2)*,66,53,0,Wind,2021-03-20,12:36
Suncor Chin Chute (SCR3)*,30,21,0,Wind,2021-03-20,12:36
Suncor Magrath (SCR2)*,30,24,0,Wind,2021-03-20,12:36
Whitla (WHT1)*,202,143,0,Wind,2021-03-20,12:36
Wintering Hills (SCR4)*,88,16,0,Wind,2021-03-20,12:36
APF Athabasca (AFG1)*,131,70,10,Biomass,2021-03-20,12:36
BRD1 Burdett (BRD1),10,0,0,Biomass,2021-03-20,12:36
BUR1 Burdett (BUR1),20,0,0,Biomass,2021-03-20,12:36
Brooks Solar (BSC1),15,14,0,Biomass,2021-03-20,12:36
Cancarb Medicine Hat (CCMH),42,26,0,Biomass,2021-03-20,12:36
Claresholm 1 (CLR1),58,57,0,Biomass,2021-03-20,12:36
Claresholm 2 (CLR2),75,0,0,Biomass,2021-03-20,12:36
DAI1 Daishowa (DAI1),52,46,12,Biomass,2021-03-20,12:36
Gold Creek Facility (GOC1),5,0,0,Biomass,2021-03-20,12:36
Grande Prairie EcoPower (GPEC),27,13,0,Biomass,2021-03-20,12:36
Hull (HUL1),25,19,0,Biomass,2021-03-20,12:36
Innisfail (INF1),22,22,0,Biomass,2021-03-20,12:36
NRGreen (NRG3),16,11,0,Biomass,2021-03-20,12:36
Slave Lake (SLP1)*,9,6,0,Biomass,2021-03-20,12:36
Suffield (SUF1),23,22,0,Biomass,2021-03-20,12:36
Summerview (SUM1),10,0,10,Biomass,2021-03-20,12:36
Vauxhall (VXH1),22,17,0,Biomass,2021-03-20,12:36
Weldwood #1 (WWD1)*,50,40,0,Biomass,2021-03-20,12:36
Westfield Yellow Lake (WEF1),19,0,0,Biomass,2021-03-20,12:36
Westlock (WST1)*,18,11,0,Biomass,2021-03-20,12:36
Weyerhaeuser (WEY1),48,39,0,Biomass,2021-03-20,12:36
Whitecourt Power (EAGL),25,22,0,Biomass,2021-03-20,12:36
eReserve1 Rycroft (ERV1),20,0,17,Biomass,2021-03-20,12:36
﻿Battle River #4 (BR4),155,0,0,Coal,2021-03-20,12:38
Battle River #5 (BR5),385,0,0,Coal,2021-03-20,12:38
Genesee #1 (GN1),400,250,0,Coal,2021-03-20,12:38
Genesee #2 (GN2),400,203,0,Coal,2021-03-20,12:38
Genesee #3 (GN3),466,461,0,Coal,2021-03-20,12:38
Keephills #1 (KH1),395,202,67,Coal,2021-03-20,12:38
Keephills #2 (KH2),395,0,0,Coal,2021-03-20,12:38
Keephills #3 (KH3),463,0,0,Coal,2021-03-20,12:38
Sheerness #1 (SH1),400,0,0,Coal,2021-03-20,12:38
Sheerness #2 (SH2),400,137,0,Coal,2021-03-20,12:38
Sundance #4 (SD4),406,0,0,Coal,2021-03-20,12:38
Sundance #5 (SD5),406,0,0,Coal,2021-03-20,12:38
AB Newsprint (ANC1),63,0,0,Gas,2021-03-20,12:38
Bantry (ALP1),7,0,0,Gas,2021-03-20,12:38
Bellshill (BHL1),5,0,0,Gas,2021-03-20,12:38
Carson Creek (GEN5),15,8,0,Gas,2021-03-20,12:38
Cloverbar #1 (ENC1),48,0,0,Gas,2021-03-20,12:38
Cloverbar #2 (ENC2),101,0,0,Gas,2021-03-20,12:38
Cloverbar #3 (ENC3),101,0,0,Gas,2021-03-20,12:38
Crossfield Energy Centre #1 (CRS1),48,0,0,Gas,2021-03-20,12:38
Crossfield Energy Centre #2 (CRS2),48,0,0,Gas,2021-03-20,12:38
Crossfield Energy Centre #3 (CRS3),48,0,0,Gas,2021-03-20,12:38
Drywood (DRW1),6,0,0,Gas,2021-03-20,12:38
H.R. Milner (HRM),208,0,0,Gas,2021-03-20,12:38
Judy Creek (GEN6),15,0,0,Gas,2021-03-20,12:38
Lethbridge Burdett (ME03),7,0,6,Gas,2021-03-20,12:38
Lethbridge Coaldale (ME04),6,0,5,Gas,2021-03-20,12:38
Lethbridge Taber (ME02),8,0,6,Gas,2021-03-20,12:38
NPC1 Denis St. Pierre (NPC1),11,0,5,Gas,2021-03-20,12:38
NPC2 JL Landry (NPC2),9,0,0,Gas,2021-03-20,12:38
Northern Prairie Power Project (NPP1),105,0,0,Gas,2021-03-20,12:38
Parkland (ALP2),10,0,7,Gas,2021-03-20,12:38
Poplar Hill #1 (PH1),48,5,0,Gas,2021-03-20,12:38
Rainbow #5 (RB5),50,48,0,Gas,2021-03-20,12:38
Ralston (NAT1),20,0,17,Gas,2021-03-20,12:38
South Edmonton Terminal (SET1),20,0,0,Gas,2021-03-20,12:38
Sundance #6 (SD6) (Gas fired steam),401,349,0,Gas,2021-03-20,12:38
Valley View 1 (VVW1),50,0,0,Gas,2021-03-20,12:38
Valley View 2 (VVW2),50,29,15,Gas,2021-03-20,12:38
West Cadotte (WCD1),20,20,0,Gas,2021-03-20,12:38
West Pembina (PMB1)*,13,8,0,Gas,2021-03-20,12:38
Air Liquide Scotford #1 (ALS1),106,72,15,Gas,2021-03-20,12:38
AltaGas Harmattan (HMT1),45,39,0,Gas,2021-03-20,12:38
Base Plant (SCR1),50,33,0,Gas,2021-03-20,12:38
Bear Creek 1 (BCRK),64,57,0,Gas,2021-03-20,12:38
Bear Creek 2 (BCR2),36,29,0,Gas,2021-03-20,12:38
Blackfalds (BFD1),6,4,0,Gas,2021-03-20,12:38
CNRL Horizon (CNR5)*,203,188,0,Gas,2021-03-20,12:38
Camrose (CRG1)*,10,10,0,Gas,2021-03-20,12:38
Caroline (SHCG)*,19,0,0,Gas,2021-03-20,12:38
Carseland Cogen (TC01),95,75,0,Gas,2021-03-20,12:38
Christina Lake (CL01),100,83,0,Gas,2021-03-20,12:38
Coaldale (COD1),5,4,0,Gas,2021-03-20,12:38
Dow Hydrocarbon (DOWG),326,185,12,Gas,2021-03-20,12:38
Edson (TLM2),13,5,0,Gas,2021-03-20,12:38
Firebag (SCR6),497,415,20,Gas,2021-03-20,12:38
Fort Hills (FH1),199,183,0,Gas,2021-03-20,12:38
Foster Creek (EC04),98,71,0,Gas,2021-03-20,12:38
Joffre #1 (JOF1),474,347,20,Gas,2021-03-20,12:38
Kearl (IOR3),84,75,0,Gas,2021-03-20,12:38
Lindbergh (PEC1)*,16,14,0,Gas,2021-03-20,12:38
MEG1 Christina Lake (MEG1),202,156,0,Gas,2021-03-20,12:38
MacKay River (MKRC),207,180,0,Gas,2021-03-20,12:38
Mahkeses (IOR1),180,161,0,Gas,2021-03-20,12:38
Mulligan (MUL1)*,5,5,0,Gas,2021-03-20,12:38
Muskeg River (MKR1),202,170,0,Gas,2021-03-20,12:38
Nabiye (IOR2)*,195,163,0,Gas,2021-03-20,12:38
Nexen Inc #2 (NX02),220,171,0,Gas,2021-03-20,12:38
Poplar Creek (SCR5),376,334,0,Gas,2021-03-20,12:38
Primrose #1 (PR1),100,80,0,Gas,2021-03-20,12:38
Rainbow Lake #1 (RL1),47,0,0,Gas,2021-03-20,12:38
Redwater Cogen (TC02),92,78,0,Gas,2021-03-20,12:38
Saddle Hills (SDH1),10,0,0,Gas,2021-03-20,12:38
Scotford Upgrader (APS1),195,156,0,Gas,2021-03-20,12:38
Strathcona (IOR4)*,43,40,0,Gas,2021-03-20,12:38
Syncrude #1 (SCL1)*,510,371,0,Gas,2021-03-20,12:38
U of C Generator (UOC1)*,12,13,0,Gas,2021-03-20,12:38
University of Alberta (UOA1)*,39,11,0,Gas,2021-03-20,12:38
Cavalier (EC01),120,65,0,Gas,2021-03-20,12:38
ENMAX Calgary Energy Centre (CAL1),320,251,0,Gas,2021-03-20,12:38
Fort Nelson (FNG1),73,47,0,Gas,2021-03-20,12:38
Medicine Hat #1 (CMH1),255,165,0,Gas,2021-03-20,12:38
Nexen Inc #1 (NX01),120,45,0,Gas,2021-03-20,12:38
Shepard (EGC1),868,709,0,Gas,2021-03-20,12:38
Bighorn Hydro (BIG),120,37,10,Hydro,2021-03-20,12:38
Bow River Hydro (BOW1),320,105,35,Hydro,2021-03-20,12:38
Brazeau Hydro (BRA),350,45,178,Hydro,2021-03-20,12:38
Chin Chute (CHIN),15,0,0,Hydro,2021-03-20,12:38
Dickson Dam (DKSN),15,4,0,Hydro,2021-03-20,12:38
Irrican Hydro (ICP1),7,0,0,Hydro,2021-03-20,12:38
Oldman River (OMRH),32,3,0,Hydro,2021-03-20,12:38
Raymond Reservoir (RYMD),21,0,0,Hydro,2021-03-20,12:38
Taylor Hydro (TAY1),14,0,0,Hydro,2021-03-20,12:38
Ardenville Wind (ARD1)*,68,46,0,Wind,2021-03-20,12:38
BUL1 Bull Creek (BUL1)*,13,11,0,Wind,2021-03-20,12:38
BUL2 Bull Creek (BUL2)*,16,12,0,Wind,2021-03-20,12:38
Blackspring Ridge (BSR1)*,300,290,0,Wind,2021-03-20,12:38
Blue Trail Wind (BTR1)*,66,64,0,Wind,2021-03-20,12:38
Castle River #1 (CR1)*,39,34,0,Wind,2021-03-20,12:38
Castle Rock Ridge 2 (CRR2)*,29,29,0,Wind,2021-03-20,12:38
Castle Rock Wind Farm (CRR1)*,77,74,0,Wind,2021-03-20,12:38
Cowley Ridge (CRE3)*,20,18,0,Wind,2021-03-20,12:38
Enmax Taber (TAB1)*,81,70,0,Wind,2021-03-20,12:38
Ghost Pine (NEP1)*,82,37,0,Wind,2021-03-20,12:38
Halkirk Wind Power Facility (HAL1)*,150,22,0,Wind,2021-03-20,12:38
Kettles Hill (KHW1)*,63,57,0,Wind,2021-03-20,12:38
McBride Lake Windfarm (AKE1)*,73,54,0,Wind,2021-03-20,12:38
Oldman 2 Wind Farm 1 (OWF1)*,46,46,0,Wind,2021-03-20,12:38
Riverview (RIV1)*,105,102,0,Wind,2021-03-20,12:38
Soderglen Wind  (GWW1)*,71,44,0,Wind,2021-03-20,12:38
Summerview 1 (IEW1)*,66,54,0,Wind,2021-03-20,12:38
Summerview 2 (IEW2)*,66,53,0,Wind,2021-03-20,12:38
Suncor Chin Chute (SCR3)*,30,23,0,Wind,2021-03-20,12:38
Suncor Magrath (SCR2)*,30,18,0,Wind,2021-03-20,12:38
Whitla (WHT1)*,202,152,0,Wind,2021-03-20,12:38
Wintering Hills (SCR4)*,88,15,0,Wind,2021-03-20,12:38
APF Athabasca (AFG1)*,131,70,10,Biomass,2021-03-20,12:38
