PATH,ACTUAL FLOW,Date,Time
TOTAL,-866,2021-03-20,13:42
﻿British Columbia,-581,2021-03-20,13:44
Montana,-242,2021-03-20,13:44
Saskatchewan,0,2021-03-20,13:44
TOTAL,-823,2021-03-20,13:44
﻿British Columbia,-565,2021-03-20,13:46
Montana,-232,2021-03-20,13:46
Saskatchewan,0,2021-03-20,13:46
TOTAL,-797,2021-03-20,13:46
﻿British Columbia,-567,2021-03-20,13:48
Montana,-233,2021-03-20,13:48
Saskatchewan,0,2021-03-20,13:48
TOTAL,-800,2021-03-20,13:48
﻿British Columbia,-546,2021-03-20,13:50
Montana,-239,2021-03-20,13:50
Saskatchewan,0,2021-03-20,13:50
TOTAL,-785,2021-03-20,13:50
﻿British Columbia,-548,2021-03-20,13:52
Montana,-231,2021-03-20,13:52
Saskatchewan,0,2021-03-20,13:52
TOTAL,-779,2021-03-20,13:52
﻿British Columbia,-545,2021-03-20,13:54
Montana,-229,2021-03-20,13:54
Saskatchewan,0,2021-03-20,13:54
TOTAL,-774,2021-03-20,13:54
﻿British Columbia,-551,2021-03-20,13:56
Montana,-234,2021-03-20,13:56
Saskatchewan,0,2021-03-20,13:56
TOTAL,-785,2021-03-20,13:56
﻿British Columbia,-556,2021-03-20,13:58
Montana,-235,2021-03-20,13:58
Saskatchewan,0,2021-03-20,13:58
TOTAL,-791,2021-03-20,13:58
﻿British Columbia,-567,2021-03-20,14:00
Montana,-233,2021-03-20,14:00
Saskatchewan,0,2021-03-20,14:00
TOTAL,-800,2021-03-20,14:00
﻿British Columbia,-546,2021-03-20,14:02
Montana,-235,2021-03-20,14:02
Saskatchewan,0,2021-03-20,14:02
TOTAL,-781,2021-03-20,14:02
﻿British Columbia,-556,2021-03-20,14:04
Montana,-233,2021-03-20,14:04
Saskatchewan,0,2021-03-20,14:04
TOTAL,-789,2021-03-20,14:04
﻿British Columbia,-531,2021-03-20,14:06
Montana,-230,2021-03-20,14:06
Saskatchewan,0,2021-03-20,14:06
TOTAL,-761,2021-03-20,14:06
﻿British Columbia,-567,2021-03-20,14:08
Montana,-231,2021-03-20,14:08
Saskatchewan,0,2021-03-20,14:08
TOTAL,-798,2021-03-20,14:08
﻿British Columbia,-584,2021-03-20,14:10
Montana,-242,2021-03-20,14:10
Saskatchewan,0,2021-03-20,14:10
TOTAL,-826,2021-03-20,14:10
﻿British Columbia,-618,2021-03-20,14:12
Montana,-231,2021-03-20,14:12
Saskatchewan,0,2021-03-20,14:12
TOTAL,-849,2021-03-20,14:12
﻿British Columbia,-617,2021-03-20,14:15
Montana,-238,2021-03-20,14:15
Saskatchewan,0,2021-03-20,14:15
TOTAL,-855,2021-03-20,14:15
﻿British Columbia,-609,2021-03-20,14:17
Montana,-235,2021-03-20,14:17
Saskatchewan,0,2021-03-20,14:17
TOTAL,-844,2021-03-20,14:17
﻿British Columbia,-612,2021-03-20,14:19
Montana,-233,2021-03-20,14:19
Saskatchewan,0,2021-03-20,14:19
TOTAL,-845,2021-03-20,14:19
﻿British Columbia,-595,2021-03-20,14:21
Montana,-234,2021-03-20,14:21
Saskatchewan,0,2021-03-20,14:21
TOTAL,-829,2021-03-20,14:21
﻿British Columbia,-599,2021-03-20,14:23
Montana,-230,2021-03-20,14:23
Saskatchewan,0,2021-03-20,14:23
TOTAL,-829,2021-03-20,14:23
﻿British Columbia,-605,2021-03-20,14:25
Montana,-234,2021-03-20,14:25
Saskatchewan,0,2021-03-20,14:25
TOTAL,-839,2021-03-20,14:25
﻿British Columbia,-613,2021-03-20,14:27
Montana,-246,2021-03-20,14:27
Saskatchewan,0,2021-03-20,14:27
TOTAL,-859,2021-03-20,14:27
﻿British Columbia,-613,2021-03-20,14:29
Montana,-245,2021-03-20,14:29
Saskatchewan,0,2021-03-20,14:29
TOTAL,-858,2021-03-20,14:29
﻿British Columbia,-582,2021-03-20,14:31
Montana,-234,2021-03-20,14:31
Saskatchewan,0,2021-03-20,14:31
TOTAL,-816,2021-03-20,14:31
﻿British Columbia,-594,2021-03-20,14:33
Montana,-237,2021-03-20,14:33
Saskatchewan,0,2021-03-20,14:33
TOTAL,-831,2021-03-20,14:33
﻿British Columbia,-555,2021-03-20,14:37
Montana,-238,2021-03-20,14:37
Saskatchewan,0,2021-03-20,14:37
TOTAL,-793,2021-03-20,14:37
﻿British Columbia,-587,2021-03-20,14:39
Montana,-252,2021-03-20,14:39
Saskatchewan,0,2021-03-20,14:39
TOTAL,-839,2021-03-20,14:39
﻿British Columbia,-598,2021-03-20,14:41
Montana,-243,2021-03-20,14:41
Saskatchewan,0,2021-03-20,14:41
TOTAL,-841,2021-03-20,14:41
﻿British Columbia,-573,2021-03-20,14:43
Montana,-235,2021-03-20,14:43
Saskatchewan,0,2021-03-20,14:43
TOTAL,-808,2021-03-20,14:43
﻿British Columbia,-576,2021-03-20,14:45
Montana,-241,2021-03-20,14:45
Saskatchewan,0,2021-03-20,14:45
TOTAL,-817,2021-03-20,14:45
﻿British Columbia,-570,2021-03-20,14:47
Montana,-242,2021-03-20,14:47
Saskatchewan,0,2021-03-20,14:47
TOTAL,-812,2021-03-20,14:47
﻿British Columbia,-550,2021-03-20,14:49
Montana,-236,2021-03-20,14:49
Saskatchewan,0,2021-03-20,14:49
TOTAL,-786,2021-03-20,14:49
﻿British Columbia,-579,2021-03-20,14:52
Montana,-220,2021-03-20,14:52
Saskatchewan,0,2021-03-20,14:52
TOTAL,-799,2021-03-20,14:52
﻿British Columbia,-579,2021-03-20,14:54
Montana,-222,2021-03-20,14:54
Saskatchewan,0,2021-03-20,14:54
TOTAL,-801,2021-03-20,14:54
